Location,Product,Category,Strain,Type,Remaining Count,Usable,Inventory ID,External Barcode,Expiration Date,CostPerUnit,TotalCost,ValuePerUnit,TotalValue,PotentitalProfitPerUnit,TotalPotentialProfit,PostTaxValuePerUnit,PostTaxTotalValue,Grade,RoomData,TotalOnHand Count,Days,Description,TotalOnHand Weight,Remaining Weight,Batch Number,CBD,CBDA,CBN,THC,THCA,Total,THC: ,CBD:,Custom_3 ,Test Date:
DocMGNT,Mendo Breath - Trim,Trim,Mendo Breath,Other Material Lot,1788,,M 00026C 14 14 9376658,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 1788.00,1788,5,,1788,1788,,,,,,,,,,,
DocMGNT,Mendo Breath - Trim,Trim,Mendo Breath,Other Material Lot,3307,,M 00026C 14 14 9814674,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 3307.00,3307,5,,3307,3307,,,,,,,,,,,
DocMGNT,Mendo Breath - Trim,Trim,Mendo Breath,Other Material Lot,1632,,M 00026C 14 14 1315185,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 1632.00,1632,5,,1632,1632,,,,,,,,,,,
DocMGNT,Queen Mother Gogi - Trim,Trim,Queen Mother Gogi,Other Material Lot,2277,,M 00026C 14 14 4816385,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 2277.00,2277,5,,2277,2277,,,,,,,,,,,
DocMGNT,Queen Mother Gogi - Trim,Trim,Queen Mother Gogi,Other Material Lot,2274,,M 00026C 14 14 9273890,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 2274.00,2274,5,,2274,2274,,,,,,,,,,,
DocMGNT,Queen Mother Gogi - Trim,Trim,Queen Mother Gogi,Other Material Lot,2151,,M 00026C 14 14 9143300,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 2151.00,2151,5,,2151,2151,,,,,,,,,,,
DocMGNT,Queen Mother Gogi - Trim,Trim,Queen Mother Gogi,Other Material Lot,1926,,M 00026C 14 14 7966602,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 1926.00,1926,5,,1926,1926,,,,,,,,,,,
DocMGNT,Queen Mother Gogi - Trim,Trim,Queen Mother Gogi,Other Material Lot,1916,,M 00026C 14 14 6099387,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 1916.00,1916,5,,1916,1916,,,,,,,,,,,
DocMGNT,Queen Mother Gogi - Trim,Trim,Queen Mother Gogi,Other Material Lot,2116,,M 00026C 14 14 1353369,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 2116.00,2116,5,,2116,2116,,,,,,,,,,,
DocMGNT,Queen Mother Gogi - Trim,Trim,Queen Mother Gogi,Other Material Lot,2244,,M 00026C 14 14 9885907,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 2244.00,2244,5,,2244,2244,,,,,,,,,,,
DocMGNT,Queen Mother Gogi - Trim,Trim,Queen Mother Gogi,Other Material Lot,2439,,M 00026C 14 14 0746297,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 2439.00,2439,5,,2439,2439,,,,,,,,,,,
DocMGNT,Queen Mother Gogi Flower,Flower - Bulk,Queen Mother Gogi,Flower Lot,4065,,M 00026C 14 13 3820407,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 4065.00,4065,5,,4065,4065,,,,,,,,,,,
DocMGNT,Queen Mother Gogi Flower,Flower - Bulk,Queen Mother Gogi,Flower Lot,4065,,M 00026C 14 13 6417509,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 4065.00,4065,5,,4065,4065,,,,,,,,,,,
DocMGNT,Queen Mother Gogi Flower,Flower - Bulk,Queen Mother Gogi,Flower Lot,1755,,M 00026C 14 13 3499835,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 1755.00,1755,5,,1755,1755,,,,,,,,,,,
DocMGNT,Queen Mother Gogi Flower,Flower - Bulk,Queen Mother Gogi,Flower Lot,4065,,M 00026C 14 13 4308560,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 4065.00,4065,5,,4065,4065,,,,,,,,,,,
DocMGNT,Queen Mother Gogi Flower,Flower - Bulk,Queen Mother Gogi,Flower Lot,4065,,M 00026C 14 13 3343192,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 4065.00,4065,5,,4065,4065,,,,,,,,,,,
DocMGNT,StardawgF2 - Trim,Trim,StardawgF2,Other Material Lot,1813,,M 00026C 14 14 4613784,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 1813.00,1813,1,,1813,1813,,,,,,,,,,,
DocMGNT,StardawgF2 - Trim,Trim,StardawgF2,Other Material Lot,2774,,M 00026C 14 14 9125194,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 2774.00,2774,1,,2774,2774,,,,,,,,,,,
DocMGNT,StardawgF2 - Trim,Trim,StardawgF2,Other Material Lot,2940,,M 00026C 14 14 7678923,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 2940.00,2940,1,,2940,2940,,,,,,,,,,,
DocMGNT,StardawgF2 - Trim,Trim,StardawgF2,Other Material Lot,1388,,M 00026C 14 14 5044553,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 1388.00,1388,1,,1388,1388,,,,,,,,,,,
DocMGNT,StardawgF2 - Trim,Trim,StardawgF2,Other Material Lot,1908,,M 00026C 14 14 9786882,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 1908.00,1908,1,,1908,1908,,,,,,,,,,,
DocMGNT,StardawgF2 - Trim,Trim,StardawgF2,Other Material Lot,2185,,M 00026C 14 14 5039113,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 2185.00,2185,1,,2185,2185,,,,,,,,,,,
DocMGNT,StardawgF2 - Trim,Trim,StardawgF2,Other Material Lot,1359,,M 00026C 14 14 5774500,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 1359.00,1359,1,,1359,1359,,,,,,,,,,,
DocMGNT,StardawgF2 - Trim,Trim,StardawgF2,Other Material Lot,2571,,M 00026C 14 14 2878778,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 2571.00,2571,1,,2571,2571,,,,,,,,,,,
DocMGNT,StardawgF2 Flower,Flower - Bulk,StardawgF2,Flower Lot,4065,,M 00026C 14 13 2418612,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 4065.00,4065,1,,4065,4065,,,,,,,,,,,
DocMGNT,StardawgF2 Flower,Flower - Bulk,StardawgF2,Flower Lot,1685,,M 00026C 14 13 8809789,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 1685.00,1685,1,,1685,1685,,,,,,,,,,,
DocMGNT,StardawgF2 Flower,Flower - Bulk,StardawgF2,Flower Lot,4065,,M 00026C 14 13 4436989,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 4065.00,4065,1,,4065,4065,,,,,,,,,,,
DocMGNT,StardawgF2 Flower,Flower - Bulk,StardawgF2,Flower Lot,4065,,M 00026C 14 13 4576810,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 4065.00,4065,1,,4065,4065,,,,,,,,,,,
DocMGNT,StardawgF2 Flower,Flower - Bulk,StardawgF2,Flower Lot,4065,,M 00026C 14 13 4920880,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 4065.00,4065,1,,4065,4065,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,214835,,,,,,0,0,0,0,0,0,0,,,214835,,,190348,,,,,,,,,,,,
